WKT	NAME	NAME_EN	NAME_RU	RAILWAY	GAUGE	SERVICE	BRIDGE	TUNNEL	OSM_TYPE	OSM_ID
"LINESTRING (21.6886347 54.5605353,21.6845249 54.5613772,21.6799234 54.5624702,21.6778235 54.5628871,21.676642 54.5628682,21.6750881 54.5625961,21.6742444 54.5622962,21.6732627 54.5617986)"				disused		spur			way	"210883362"
"LINESTRING (21.2203039 54.614416,21.2224557 54.614198)"				rail	"1520"		yes		way	"201272311"
"LINESTRING (22.0336541 55.0392677,22.0332879 55.0396484,22.0330348 55.0399952,22.0327816 55.0404326,22.0327658 55.0407181,22.0328014 55.0411283,22.0328726 55.041908,22.0327895 55.0427102,22.0327539 55.0431771,22.0327025 55.0433629,22.032568 55.0436938)"				rail		spur			way	"119083579"
"LINESTRING (22.4843674 54.4529229,22.4841759 54.4529828)"				disused			yes		way	"210097517"
"LINESTRING (20.0071851 54.7338035,20.0074529 54.7339293,20.008047 54.7341497)"				abandoned		siding			way	"189538339"
"LINESTRING (19.9181444 54.4565359,19.9272066 54.4605922,19.9293065 54.461548,19.9348211 54.4641422)"				rail	"1435"				way	"276166446"
"LINESTRING (20.441906 54.7653493,20.4417431 54.7653732)"				rail	"1520"		yes		way	"288704046"
"LINESTRING (19.9305456 54.6361972,19.9296928 54.6370351,19.9293718 54.6373495,19.9290549 54.6376598)"				rail		yard			way	"295211958"
"LINESTRING (19.9275909 54.6387333,19.9277829 54.6385863,19.9281246 54.6382909,19.9282827 54.6381362,19.9284545 54.637968,19.9286396 54.6377569,19.9287619 54.6376021,19.928829 54.6374469,19.9288665 54.6372932,19.9288783 54.6372073,19.9288837 54.6370568,19.9288504 54.6368818,19.9287924 54.6366927,19.9287029 54.6364968,19.9285725 54.6363132,19.9283955 54.6361114,19.9282322 54.6359695,19.9280055 54.6358231,19.9278178 54.6357206,19.9275951 54.6356228,19.9273108 54.6355235,19.9269106 54.6353878)"				rail		spur			way	"295212841"
"LINESTRING (19.9299099 54.640511,19.9271644 54.6413581,19.9269997 54.6413988,19.9262326 54.6415806)"	"65"			rail		yard			way	"295213787"
"LINESTRING (22.2017024 54.5839439,22.2013945 54.5839077,22.2011273 54.5838856,22.1999799 54.5838845,22.1995848 54.5838615,22.1993064 54.5838264,22.1990519 54.5837741,22.1987082 54.5836848,22.198439 54.58359,22.1981463 54.5834527,22.1979272 54.5833404,22.1977276 54.5832137,22.1975123 54.5830649,22.1973859 54.5829302,22.1972427 54.582748,22.1967838 54.5820269,22.196648 54.5818183,22.1965654 54.5816266,22.1965145 54.5814365,22.1964262 54.581053,22.1961221 54.579863)"				abandoned		spur			way	"238335155"
